impl,config,m,n,score,time
serial,1,8000,8000,3545,0.245019
serial,1,8000,8000,3545,0.206408
serial,1,8000,8000,3545,0.199669
openmp,1,8000,8000,3545,0.143798
openmp,1,8000,8000,3545,0.157630
openmp,1,8000,8000,3545,0.147918
openmp,2,8000,8000,3545,0.104010
openmp,2,8000,8000,3545,0.102065
openmp,2,8000,8000,3545,0.094926
openmp,4,8000,8000,3545,0.075411
openmp,4,8000,8000,3545,0.069185
openmp,4,8000,8000,3545,0.071792
openmp,8,8000,8000,3545,0.063458
openmp,8,8000,8000,3545,0.095623
openmp,8,8000,8000,3545,0.065666
openmp,16,8000,8000,3545,0.076687
openmp,16,8000,8000,3545,0.074624
openmp,16,8000,8000,3545,0.074664
mpi,1,8000,8000,3545,0.107451
mpi,1,8000,8000,3545,0.115649
mpi,1,8000,8000,3545,0.104478
mpi,2,8000,8000,3545,0.057331
mpi,2,8000,8000,3545,0.107969
mpi,2,8000,8000,3545,0.056836
mpi,4,8000,8000,3545,0.034417
mpi,4,8000,8000,3545,0.034125
mpi,4,8000,8000,3545,0.035517
mpi,8,8000,8000,3545,0.036306
mpi,8,8000,8000,3545,0.048948
mpi,8,8000,8000,3545,0.035688



cuda,32,8000,8000,3545,0.126068
cuda,32,8000,8000,3545,0.113277
cuda,32,8000,8000,3545,0.099533
cuda,64,8000,8000,3545,0.126292
cuda,64,8000,8000,3545,0.104754
cuda,64,8000,8000,3545,0.100532
cuda,128,8000,8000,3545,0.117170
cuda,128,8000,8000,3545,0.125018
cuda,128,8000,8000,3545,0.101715
cuda,256,8000,8000,3545,0.127473
cuda,256,8000,8000,3545,0.114029
cuda,256,8000,8000,3545,0.108833
cuda,512,8000,8000,3545,0.128299
cuda,512,8000,8000,3545,0.132373
cuda,512,8000,8000,3545,0.114315
